Id;AcctingCode;AcctingCodeDescription
109;"307  ";"CAPITAL PAID IN EXCESS OF PAR                     "
110;"308  ";"PAID-IN CAPITAL                                   "
111;"309  ";"RETAINED EARNINGS                                 "
112;"1108 ";"EXPORT SALES                                      "
113;"1107 ";"ICE SALES                                         "
114;"2003 ";"RMU - FISH                                        "
115;"2001 ";"RMU - OTHER AND INGREDIENTS                       "
116;"2006 ";"RMU - CANS                                        "
117;"2008 ";"RMU - CARTONS                                     "
118;"2015 ";"RMU - LABELS                                      "
119;"2021 ";"FISHMEAL RECOVERY                                 "
120;"2018 ";"FISH SCRAP CONVERSION COST                        "
121;"3006 ";"OTHER INCOME EXPENSE                              "
122;"3005 ";"STAFFHOUSE UTENSILS AND SUPPLIES                  "
123;"3503 ";"QA SAMPLES                                        "
124;"2034 ";"LOSS ON DEFECTIVE GOODS                           "
125;"1074 ";"PROVISION FOR INCOME TAX                          "
126;"3102 ";"PROVISION FOR DOUBTFUL ACCOUNTS - CLAIMS          "
127;"3103 ";"PROVISION FOR INVENTORY OBSOLESCENCE              "
128;"3078 ";"INTEREST EXPENSE ON LOANS                         "
129;"4100 ";"FINISHED GOODS RENDERED/REPROCESSED - VARIABLE    "
130;"4200 ";"FINISHED GOODS RENDERED/REPROCESSED - FIXED       "
131;"5100 ";"FINISHED GOODS TRANSFERRED TO QA - VARIABLE       "
132;"5200 ";"FINISHED GOODS TRANSFERRED TO QA - FIXED          "
133;"9102 ";"FINISHED GOODS INVENTORY, BEG. - FIXED            "
134;"9103 ";"FINISHED GOODS INVENTORY, END - VARIABLE          "
135;"9104 ";"FINISHED GOODS INVENTORY, END - FIXED             "
136;"3018 ";"DIRECT LABOR - BASIC                              "
137;"3019 ";"DIRECT LABOR - OVERTIME                           "
138;"3127 ";"DIRECT LABOR - ASTEK PREMIUM                      "
139;"3130 ";"DIRECT LABOR - 13TH MONTH PAY                     "
140;"3155 ";"DIRECT LABOR - GRP. LIFE/HOSPITAL INSURANCE       "
141;"3132 ";"DIRECT LABOR - OTHER EMPLOYEE BENEFITS            "
142;"3129 ";"DIRECT LABOR - HOSPITALIZATION                    "
143;"3131 ";"DIRECT LABOR - EMPLOYEES' SAFETY PARAPHERNALIA    "
144;"3128 ";"DIRECT LABOR - SICK & VACATION LEAVE              "
145;"3144 ";"DIRECT LABOR - MEAL ALLOWANCE                     "
146;"3150 ";"DIRECT LABOR - RELOCATION                         "
147;"3054 ";"GASOLINE AND OIL                                  "
148;"3050 ";"LIGHT, WATER, AND POWER                           "
149;"3052 ";"FREIGHT                                           "
150;"3000 ";"SACKS                                             "
151;"5002 ";"MISCELLANEOUS                                     "
152;"3022 ";"INDIRECT LABOR - BASIC                            "
153;"3023 ";"INDIRECT LABOR - OVERTIME                         "
154;"3146 ";"INDIRECT LABOR - MEAL ALLOWANCE                   "
155;"3133 ";"INDIRECT LABOR - ASTEK PREMIUM                    "
156;"3136 ";"INDIRECT LABOR - 13TH MONTH PAY                   "
157;"3137 ";"INDIRECT LABOR - EMPLOYEES' SAFETY PARAPHERNALIA  "
158;"3138 ";"INDIRECT LABOR - OTHER EMPLOYEE BENEFITS          "
159;"3152 ";"INDIRECT LABOR - GRP. LIFE/HOSPITAL INSURANCE     "
160;"3134 ";"INDIRECT LABOR - SICK & VACATION LEAVE            "
161;"3135 ";"INDIRECT LABOR - HOSPITALIZATION                  "
162;"3014 ";"FACTORY SUPPLIES EXPENSES                         "
163;"3015 ";"STATIONERY & OFFICE SUPPLIES                      "
164;"3036 ";"SECURITY SERVICES                                 "
165;"3038 ";"REAL ESTATE TAXES                                 "
166;"3041 ";"DEPRECIATION                                      "
167;"3043 ";"RENTALS                                           "
168;"3047 ";"REPAIR AND MAINTENANCE - LABOR COST"
169;"3048 ";"INSURANCE                                         "
170;"3060 ";"OUT OF TOWN TRAVEL                                "
171;"3062 ";"TELEPHONE, TELEGRAPH, AND POSTAGE                 "
172;"3063 ";"REPRESENTATION                                    "
173;"3069 ";"DONATIONS                                         "
174;"3070 ";"MEMBERSHIP DUES                                   "
175;"3072 ";"TRAINING AND SEMINAR                              "
176;"3075 ";"PHOTOCOPYING CHARGES                              "
177;"3080 ";"BOOKS AND SUBSCRIPTION                            "
178;"3067 ";"PRODUCT DEVELOPMENT                               "
179;"3040 ";"OTHER TAXES, LICENSES, AND FEES                   "
180;"3001 ";"FISH MEAL INCOME                                  "
181;"3004 ";"AMORTIZATION OF DEFERRED CHARGES                  "
182;"3034 ";"PROFESSIONAL FEES                                 "
183;"3214 ";"CONTRACT LABOR                                    "
184;"3109 ";"ADVERTISING & PROMOTION                           "
185;"3200 ";"SALARIES AND WAGES - BASIC                        "
186;"3201 ";"SALARIES AND WAGES - OVERTIME                     "
187;"3202 ";"SALARIES AND WAGES - ASTEK PREMIUM                "
188;"3205 ";"SALARIES AND WAGES - 13TH MONTH PAY               "
189;"3206 ";"SALARIES AND WAGES - EMPLOYEES' SAFETY PARAP.     "
190;"3207 ";"SALARIES AND WAGES - OTHER EMPLOYEE BENEFITS      "
191;"3213 ";"SALARIES AND WAGES - GRP LIFE/HOSPITALIZATION INS."
192;"3203 ";"SALARIES AND WAGES - SICK AND VACATION LEAVE      "
193;"3210 ";"SALARIES AND WAGES - MEAL ALLOWANCE               "
194;"3204 ";"SALARIES AND WAGES - HOSPITALIZATION              "
195;"3216 ";"PRE-EMPLOYMENT EXPENSES (RECRUITMENT)             "
196;"3061 ";"FOREIGN TRAVEL                                    "
197;"3111 ";"OCEAN FREIGHT                                     "
198;"3029 ";"MARINE INSURANCE                                  "
199;"3112 ";"DOUBLE DUTY CHARGES                               "
200;"3098 ";"INLAND FREIGHT                                    "
201;"3605 ";"FACILITATION EXPENSES                             "
202;"3114 ";"AGENTS' COMMISSIONS                               "
203;"3218 ";"BROKERAGE CHARGES                                 "
204;"3099 ";"LABORATORY CHARGES                                "
205;"3209 ";"SALARIES AND WAGES - TAX ALLOWANCES               "
206;"3037 ";"INAUGURAL EXPENSES                                "
207;"2023 ";"ICE EXPENSES                                      "
208;"2000 ";"RENTAL COLD STORAGE                               "
209;"3013 ";"FISHING SUPPLIES USED                             "
210;"3049 ";"DIESEL FUEL EXPENSES                              "
211;"3031 ";"LABELLING SUPPLIES USED                           "
212;"004  ";"BCA - 026-397-0044"
213;"097  ";"BRI - BITUNG US$ 37-11-0001-2                     "
214;"122  ";"ADVANCES TO OFFICERS AND EMPLOYEES                "
215;"203  ";"VAT PAYABLE                                       "
216;"9101 ";"FINISHED GOODS INVENTORY, BEG. - VARIABLE         "
217;"3068 ";"BANK CHARGES                                      "
218;"3211 ";"RELOCATION EXPENSE                                "
219;"1109 ";"LOCAL SALES - FISHMEAL                            "
220;"998  ";"OTHER ASSETS                                      "
221;"002  ";"TIME DEPOSIT"
222;"003  ";"BCA USD 0534970044"
223;"3900 ";"GAIN (LOSS) ON FOREIGN EXCHANGE                   "
224;"3016 ";"LABORATORY SUPPLIES                               "
225;"905  ";"ACCUM. DEP'N. - ICE PLANT                         "
226;"3142 ";"INDIRECT LABOR - TRANSPORTATION ALLOWANCE         "
227;"3208 ";"SALARIES AND WAGES - TRANSPORTATION ALLOWANCE     "
228;"005  ";"BANK NISP RP - BITUNG                             "
229;"006  ";"BANK NISP USD BITUNG                              "
230;"3002 ";"TECHNICAL FEE                                     "
231;"4000 ";"CHEMICALS USED                                    "
232;"3115 ";"MARKETING FEE/TECHNICAL FEE                       "
233;"007  ";"BII - RPH - 2-062-001809                          "
234;"008  ";"BII - US$ 2062-00-0305                            "
235;"7777 ";"FISH MEAL CREDIT                                  "
236;"0001 ";"VARIABLE CONVERSION COST"
237;"0002 ";"FIXED CONVERSION COST                             "
238;"009  ";"BANK MANDIRI 150-00-9504595-9"
239;"204  ";"ACCRUED INTEREST ON LOANS                         "
240;"211  ";"ACCRUED VARIABLE DISTRIBUTION EXPENSES            "
241;"209  ";"DUE TO OCEAN CANNING CORPORATION                  "
242;"3212 ";"INDIRECT LABOR - NIGHT DIFFERENTIAL               "
243;"3020 ";"DIRECT LABOR - NIGHT DIFFERENTIAL                 "
244;"3215 ";"SALARIES AND WAGES - NIGHT DIFFERENTIAL           "
245;"6000 ";"DOCKING FEES                                      "
246;"5555 ";"ICE NET (INCOME) LOSS                             "
247;"3055 ";"FUEL CONSUMPTION                                  "
248;"4001 ";"COMMITMENT FEES                                   "
249;"157  ";"PREPAID INCOME TAX                                "
250;"217  ";"ACCRUED MEAL ALLOWANCE                            "
251;"415  ";"MACKAREL                                          "
252;"106  ";"BUN - MANADO 081-000465-1                         "
253;"105  ";"BUN - MANADO 081-005000-9                         "
254;"1110 ";"LOCAL SALES                                       "
255;"130  ";"FINISHED GOODS IN TRANSIT                         "
256;"3100 ";"BANK DISCREPANCY                                  "
257;"3901 ";"FINANCING CHARGES                                 "
258;"0003 ";"ICE PURCHASES"
259;"218  ";"WITHHOLDING TAX PAYABLE - PPH FINAL               "
260;"219  ";"FOREIGN TAX PAYABLE                               "
261;"902  ";"COLD STORAGE BUILDING                             "
262;"904  ";"ACCUM. DEP'N. - COLD STORAGE BUILDING             "
263;"108  ";"BII - US$ -2-062-127635"
264;"010  ";"BNI 46 - RPH BITUNG 78825-001                     "
265;"3141 ";"DIRECT LABOR - TRANSPORTATION ALLOWANCE           "
266;"906  ";"CONTAINER YARD                                    "
267;"907  ";"ACCUM. DEP'N. - CONTAINER YARD                    "
268;"214  ";"WITHHOLDING TAX PAYABLE - PPH 25                  "
269;"908  ";"COLD STORAGE MACHINERY                            "
270;"909  ";"ACCUM. DEP'N. - COLD STORAGE MACHINERY            "
271;"011  ";"ABN AMRO RPH - 025-5287-036                       "
272;"012  ";"ABN AMRO USD - 025-2870-44                        "
273;"3104 ";"LOSS ON DECLINE MARKET VALUE OF FISH MEAL         "
274;"317  ";"ALLOWANCE FOR DECLINE MARKET VALUE OF FISH MEAL   "
275;"1112 ";"FISH OIL SALES                                    "
276;"1113 ";"NON-CANNABLE / SCRAP SALES"
277;"1111 ";"SCRAP SALES"
278;"2002 ";"RMU - OIL                                         "
279;"3071 ";"EMPLOYEE RELATIONS                                "
280;"3143 ";"INDIRECT LABOR - OTHER ALLOWANCE                  "
281;"3059 ";"TRANSPORTATION EXPENSES                           "
282;"3035 ";"ESCORT CHARGES                                    "
283;"3039 ";"TRANSPORT COST                                    "
284;"3064 ";"DISCRETIONARY EXPENSES                            "
285;"6001 ";"INSPECTION FEES                                   "
286;"3107 ";"DEMURRAGE CHARGES                                 "
287;"3017 ";"HEALTH CERTIFICATE FEES                           "
288;"3105 ";"SHIPMENT EXPENSES                                 "
289;"3106 ";"SURVEYING FEES                                    "
290;"3217 ";"SALARIES AND WAGES - OTHER ALLOWANCE              "
291;"3051 ";"HANDLING EXPENSES                                 "
292;"111  ";"BANK MANDIRI - US$ 150-00-0009802-8"
293;"112  ";"BANK MANDIRI USD - BISNIS 150-00-1202092-9"
294;"014  ";"BANK DANAMON RPH BITUNG - 117000003495            "
295;"2004 ";"RMU - FISH COLLECTORS                             "
296;"3902 ";"DEFERRED PROVISION FOR INCOME TAX                 "
297;"226  ";"ACCRUED COMPENSATION BENEFITS                     "
298;"3219 ";"SALARIES AND WAGES - RETIREMENT                   "
299;"3145 ";"DIRECT LABOR - RETIREMENT                         "
300;"3148 ";"INDIRECT LABOR - RETIREMENT                       "
301;"189  ";"ACCUM. DEP'N  - CONSTRUCTION IN PROGRESS          "
302;"1114 ";"FROZEN PRECOOKED LOIN SALES"
303;"177  ";"CONSTRUCTION IN PROGRESS- FROZEN PRECOOKED LOINS"
304;"187  ";"ACCUM. DEP'N - WASTE WATER TREATMENT"
305;"188  ";"CONSTRUCTION IN PROGRESS - FISH MEAL DRYER        "
306;"318  ";"ALLOWANCE FOR DECLINE IN MARKET VALUE OF INVENTORY"
307;"3108 ";"TUNA VIAND DISTRIBUTION"
308;"230  ";"DUE TO FRABELLE                                   "
309;"3056 ";"COAL CONSUMPTION                                  "
310;"744  ";"COAL                                              "
311;0;" "
312;3046;"REPAIRS AND MAINTENANCE - MATERIAL"
315;2009;"RMU - CARTONS TUNA VIAND"
316;2016;"RMU - LABELS TUNA VIAND"
317;3003;"RMU - INGREDIENTS TUNA VIAND"
318;2007;"RMU - CANS TUNA VIAND"
320;3110;"TUNA VIAND - GASOLINE AND OIL"
322;170;"ACCUM. DEP'N. - BRINE FREEZER"
323;199;"ACCUM. DEP'N - BLAST FREEZER"
325;200;"ACCUM DEP'N - TRICANTER"
326;171;"WASTE WATER TREATMENT"
327;150;"PREPAID INSURANCE - MANULIFE FINANCIAL"
328;166;"BRINE FREEZER"
329;191;"BLAST FREEZER"
336;229;"DEFERRED TAX LIABILITY"
337;745;"SLUDGE OIL"
338;3057;"SLUDGE OIL CONSUMPTION"
351;221;"WITHHOLDING TAX PAYABLE - PPh 21 ABSORBED BY THE GOVERNMENT"
352;3139;"INDIRECT LABOR - OTHERS"
353;3140;"DIRECT LABOR - OTHERS"
354;222;"ACCRUED COMPENSATION BENEFIT - CASUAL EMPLOYEES"
355;3220;"SALARIES AND WAGES - OTHERS"
356;258;"FISH OIL"
357;198;"FISHING VESSEL"
358;2005;"FISHING EXPENSE"
359;2011;"RMU - PLASTIC BAG"
360;141;"PLASTIC BAG"
361;266;"CONSTRACTION IN PROGRESS FPL & 211 PROJECTS"
362;3113;"LOCAL FREIGHT"
363;304;"ADVANCES IN CAPITAL STOCK"
364;1115;"SALES DISCOUNT"
365;1116;"SALES RETURN"
366;5000;TEST
367;3007;"INCOME TAX EXPENSES"
